Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Cyprus,2012,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.061270885,0.044870344,0.078746581
Cyprus,2013,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.06053968,0.044285624,0.078254226
Cyprus,2014,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.060543721,0.043592641,0.078789944
Cyprus,2015,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.063846812,0.046282902,0.083196799
Cyprus,2016,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.068545038,0.050086908,0.091212044
Cyprus,2017,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.069613847,0.050781863,0.093438215
Cyprus,2018,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.064432321,0.046142251,0.086739363
Cyprus,2019,5-14 years,Female,Liver cancer,"Deaths per 100,000",0.062198933,0.043775915,0.08356099
Cyprus,1990,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.441445777,0.318858302,0.613112228
Cyprus,1991,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.448735496,0.322761954,0.630872762
Cyprus,1992,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.459369653,0.336730747,0.63685411
Cyprus,1993,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.465840651,0.350470194,0.623771082
Cyprus,1994,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.467355878,0.354909904,0.620519673
Cyprus,1995,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.469216987,0.359294765,0.618948025
Cyprus,1996,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.468668824,0.36196617,0.617753939
Cyprus,1997,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.463093031,0.359073863,0.600505475
Cyprus,1998,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.460735052,0.359599859,0.59647216
Cyprus,1999,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.454724318,0.355865615,0.581439507
Cyprus,2000,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.445355505,0.353122902,0.569396718
Cyprus,2001,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.430086291,0.345080167,0.54962993
Cyprus,2002,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.413901051,0.335971613,0.524953432
Cyprus,2003,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.41257673,0.333787348,0.516259644
Cyprus,2004,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.403691065,0.329148002,0.510694693
Cyprus,2005,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.391397776,0.324278165,0.484359574
Cyprus,2006,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.376847366,0.314892419,0.458220715
Cyprus,2007,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.375590397,0.315733889,0.45782648
Cyprus,2008,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.381279161,0.321722257,0.461765205
Cyprus,2009,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.387165487,0.322626424,0.468005113
Cyprus,2010,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.388904519,0.319600334,0.471974865
Cyprus,2011,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.380511118,0.313009637,0.461622246
Cyprus,2012,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.374633728,0.307658699,0.455447333
Cyprus,2013,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.374169672,0.308032844,0.460593045
Cyprus,2014,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.368907446,0.301782696,0.448342548
Cyprus,2015,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.367466076,0.299040464,0.449561285
Cyprus,2016,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.366995841,0.294458551,0.459742173
Cyprus,2017,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.365241375,0.290131212,0.459369918
Cyprus,2018,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.374231959,0.29434158,0.477309292
Cyprus,2019,15-49 years,Both,Liver cancer,"Deaths per 100,000",0.380366996,0.294009858,0.495961115
Cyprus,1990,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.612828954,0.39466535,0.928182836
Cyprus,1991,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.62529295,0.406693534,0.95707829
Cyprus,1992,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.64480493,0.428016895,0.979490271
Cyprus,1993,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.660460151,0.453310169,0.967504416
Cyprus,1994,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.670106767,0.46542121,0.950960477
Cyprus,1995,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.675485466,0.47750297,0.944622093
Cyprus,1996,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.677348686,0.481101704,0.946946129
Cyprus,1997,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.670075841,0.485693457,0.929021281
Cyprus,1998,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.672516234,0.489646251,0.917313182
Cyprus,1999,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.666278915,0.493854865,0.893610461
Cyprus,2000,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.654749128,0.484651843,0.884229774
Cyprus,2001,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.628490228,0.471306315,0.856362098
Cyprus,2002,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.602682017,0.458309606,0.812329903
Cyprus,2003,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.59438902,0.4485835,0.797918662
Cyprus,2004,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.568416722,0.427285719,0.762397862
Cyprus,2005,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.531088305,0.406946965,0.703448931
Cyprus,2006,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.491114505,0.37761651,0.648491565
Cyprus,2007,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.480333501,0.366569418,0.633463648
Cyprus,2008,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.479962719,0.368113836,0.630027277
Cyprus,2009,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.476245585,0.364065097,0.629731231
Cyprus,2010,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.478271476,0.361637953,0.639824655
Cyprus,2011,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.466676065,0.3572553,0.61459017
Cyprus,2012,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.46048915,0.347034347,0.615769905
Cyprus,2013,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.462312706,0.346696388,0.609421438
Cyprus,2014,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.456139894,0.342252945,0.59493729
Cyprus,2015,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.456098662,0.339953349,0.60276458
Cyprus,2016,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.459632182,0.331543179,0.627182967
Cyprus,2017,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.455674232,0.326216818,0.634634392
Cyprus,2018,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.465868335,0.331256797,0.644651137
Cyprus,2019,15-49 years,Male,Liver cancer,"Deaths per 100,000",0.47533851,0.33949702,0.682486274
Cyprus,1990,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.262458951,0.182089664,0.369150142
Cyprus,1991,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.264051062,0.183229411,0.374505644
Cyprus,1992,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.265195188,0.184274586,0.372058942
Cyprus,1993,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.261993486,0.186306761,0.35938327
Cyprus,1994,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.255060663,0.182054567,0.350444484
Cyprus,1995,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.253395686,0.185310759,0.348214998
Cyprus,1996,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.250559131,0.187755436,0.338206807
Cyprus,1997,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.247055323,0.187843534,0.328902026
Cyprus,1998,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.239934899,0.183527997,0.314463889
Cyprus,1999,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.234390559,0.180442854,0.307901308
Cyprus,2000,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.22754299,0.177588529,0.294098607
Cyprus,2001,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.224060434,0.176833595,0.285602451
Cyprus,2002,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.218327382,0.170843614,0.278939493
Cyprus,2003,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.224742818,0.177628829,0.285466647
Cyprus,2004,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.234068183,0.186073217,0.291258144
Cyprus,2005,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.24811096,0.197868123,0.310300715
Cyprus,2006,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.260130628,0.205457828,0.322643571
Cyprus,2007,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.269063284,0.21257137,0.330890125
Cyprus,2008,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.28134527,0.223320978,0.351865173
Cyprus,2009,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.297336949,0.236666798,0.376136378
Cyprus,2010,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.299160205,0.237592612,0.377180268
Cyprus,2011,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.29433518,0.2340898,0.374063571
Cyprus,2012,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.289114583,0.227137859,0.370447888
Cyprus,2013,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.286707721,0.224857914,0.370582414
Cyprus,2014,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.282647239,0.219805457,0.361548183
Cyprus,2015,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.28007927,0.216642922,0.361864616
Cyprus,2016,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.275880999,0.207307048,0.368286761
Cyprus,2017,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.276465802,0.203205155,0.372769352
Cyprus,2018,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.284408768,0.207719956,0.378976042
Cyprus,2019,15-49 years,Female,Liver cancer,"Deaths per 100,000",0.287355344,0.206304353,0.382812467
Cyprus,1990,50-69 years,Both,Liver cancer,"Deaths per 100,000",8.224572874,6.463386316,10.1969442
Cyprus,1991,50-69 years,Both,Liver cancer,"Deaths per 100,000",8.095385713,6.358263306,10.04775511
Cyprus,1992,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.930543503,6.268661341,9.798628762
Cyprus,1993,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.701359535,6.225684483,9.400516466
Cyprus,1994,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.436757665,6.074805977,8.935576264
Cyprus,1995,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.371016933,6.046326712,8.875300732
Cyprus,1996,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.282835314,6.002388331,8.73030283
Cyprus,1997,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.188387256,6.014265748,8.579118594
Cyprus,1998,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.075820037,5.955310446,8.444722827
Cyprus,1999,50-69 years,Both,Liver cancer,"Deaths per 100,000",6.951515469,5.939694255,8.226005076
Cyprus,2000,50-69 years,Both,Liver cancer,"Deaths per 100,000",6.935304482,5.914681095,8.153703735
Cyprus,2001,50-69 years,Both,Liver cancer,"Deaths per 100,000",6.910312823,5.886053297,8.133002977
Cyprus,2002,50-69 years,Both,Liver cancer,"Deaths per 100,000",6.910141892,5.884643107,8.073132075
Cyprus,2003,50-69 years,Both,Liver cancer,"Deaths per 100,000",6.856368251,5.864978759,7.96475014
Cyprus,2004,50-69 years,Both,Liver cancer,"Deaths per 100,000",6.836269099,5.857218792,7.911415661
Cyprus,2005,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.142929481,6.184738075,8.22940777
Cyprus,2006,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.367206721,6.396476635,8.54735457
Cyprus,2007,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.500414479,6.496579545,8.746189187
Cyprus,2008,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.443528327,6.469302009,8.650123029
Cyprus,2009,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.454704841,6.488911947,8.626180663
Cyprus,2010,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.47301091,6.517054819,8.571996089
Cyprus,2011,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.467587749,6.461985649,8.644103608
Cyprus,2012,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.487484257,6.451262882,8.723026433
Cyprus,2013,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.534067031,6.536200279,8.725707908
Cyprus,2014,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.509012418,6.438738963,8.79294268
Cyprus,2015,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.517852853,6.39670206,8.89060542
Cyprus,2016,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.557203731,6.346136724,9.064220039
Cyprus,2017,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.638368079,6.327546749,9.224181892
Cyprus,2018,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.595754864,6.231800064,9.263303253
Cyprus,2019,50-69 years,Both,Liver cancer,"Deaths per 100,000",7.536672351,6.073661709,9.159964424
Cyprus,1990,50-69 years,Male,Liver cancer,"Deaths per 100,000",12.20788409,9.070042682,15.91397262
Cyprus,1991,50-69 years,Male,Liver cancer,"Deaths per 100,000",11.97460364,8.847804824,15.51573823
Cyprus,1992,50-69 years,Male,Liver cancer,"Deaths per 100,000",11.66719308,8.73548831,15.112513
Cyprus,1993,50-69 years,Male,Liver cancer,"Deaths per 100,000",11.28672987,8.593525799,14.40597193
Cyprus,1994,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.89265106,8.401926139,13.76366943
Cyprus,1995,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.79991995,8.37874085,13.69964347
Cyprus,1996,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.67176644,8.339418463,13.35898846
Cyprus,1997,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.51874096,8.272382178,13.09397297
Cyprus,1998,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.3892713,8.312941874,12.99915185
Cyprus,1999,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.20431987,8.303070133,12.62297568
Cyprus,2000,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.1714615,8.232930644,12.56337081
Cyprus,2001,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.08300861,8.193264475,12.44592284
Cyprus,2002,50-69 years,Male,Liver cancer,"Deaths per 100,000",9.972792537,8.113524374,12.25195749
Cyprus,2003,50-69 years,Male,Liver cancer,"Deaths per 100,000",9.802765514,8.034133339,11.9508453
Cyprus,2004,50-69 years,Male,Liver cancer,"Deaths per 100,000",9.726431983,8.036119898,11.75823273
Cyprus,2005,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.19914235,8.420891481,12.2340136
Cyprus,2006,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.46739633,8.688462963,12.66593572
Cyprus,2007,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.64132584,8.748473648,13.01881417
Cyprus,2008,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.4477113,8.681337242,12.54798117
Cyprus,2009,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.56413641,8.79914961,12.72135916
Cyprus,2010,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.53161754,8.802983839,12.63606854
Cyprus,2011,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.39060231,8.592596014,12.46935246
Cyprus,2012,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.39669579,8.59637958,12.5636929
Cyprus,2013,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.46890492,8.648509059,12.5543533
Cyprus,2014,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.48094011,8.567205162,12.78807921
Cyprus,2015,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.50047092,8.570602318,12.89731954
Cyprus,2016,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.58018466,8.486403138,13.04182252
Cyprus,2017,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.76794349,8.487486105,13.47821981
Cyprus,2018,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.78979602,8.43257674,13.76763859
Cyprus,2019,50-69 years,Male,Liver cancer,"Deaths per 100,000",10.74761528,8.286613408,13.81721708
Cyprus,1990,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.614815385,3.241254689,6.294054966
Cyprus,1991,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.582986998,3.214463409,6.169701932
Cyprus,1992,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.543133514,3.233677177,6.191004262
Cyprus,1993,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.43513134,3.240669556,5.966403922
Cyprus,1994,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.264710039,3.149785975,5.701538575
Cyprus,1995,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.195091272,3.130234983,5.56850985
Cyprus,1996,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.113418385,3.146996788,5.358821354
Cyprus,1997,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.04207018,3.118585483,5.203640662
Cyprus,1998,50-69 years,Female,Liver cancer,"Deaths per 100,000",3.919105093,3.017472227,5.036693324
Cyprus,1999,50-69 years,Female,Liver cancer,"Deaths per 100,000",3.829508059,2.963530166,4.834721966
Cyprus,2000,50-69 years,Female,Liver cancer,"Deaths per 100,000",3.807371073,2.995551797,4.761772992
Cyprus,2001,50-69 years,Female,Liver cancer,"Deaths per 100,000",3.825003783,3.028106409,4.736715417
Cyprus,2002,50-69 years,Female,Liver cancer,"Deaths per 100,000",3.916174712,3.10006798,4.858714977
Cyprus,2003,50-69 years,Female,Liver cancer,"Deaths per 100,000",3.964405635,3.166135304,4.871936206
Cyprus,2004,50-69 years,Female,Liver cancer,"Deaths per 100,000",3.989623542,3.214342169,4.848021517
Cyprus,2005,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.123197333,3.358176444,5.032961111
Cyprus,2006,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.296006376,3.492575277,5.247087324
Cyprus,2007,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.384572107,3.580038144,5.414582107
Cyprus,2008,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.462625002,3.619705144,5.49991793
Cyprus,2009,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.371782907,3.521167297,5.371166862
Cyprus,2010,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.444582501,3.562009491,5.494568663
Cyprus,2011,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.576514368,3.706736683,5.690673544
Cyprus,2012,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.612132653,3.718283277,5.790166449
Cyprus,2013,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.638184541,3.724817487,5.807923923
Cyprus,2014,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.584786409,3.670089418,5.741999089
Cyprus,2015,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.594815041,3.647326422,5.831463241
Cyprus,2016,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.610227385,3.577985561,5.896402786
Cyprus,2017,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.60684343,3.534792067,5.902398108
Cyprus,2018,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.521332446,3.383451438,5.770493692
Cyprus,2019,50-69 years,Female,Liver cancer,"Deaths per 100,000",4.467889365,3.287807949,5.807509004
Cyprus,1990,70+ years,Both,Liver cancer,"Deaths per 100,000",27.07224837,21.65229342,33.06267223
Cyprus,1991,70+ years,Both,Liver cancer,"Deaths per 100,000",27.86279617,22.28743675,33.79681299
Cyprus,1992,70+ years,Both,Liver cancer,"Deaths per 100,000",28.58348467,23.24313573,34.43300736
Cyprus,1993,70+ years,Both,Liver cancer,"Deaths per 100,000",28.66123174,23.77303536,34.1218732
Cyprus,1994,70+ years,Both,Liver cancer,"Deaths per 100,000",28.09571658,23.6363568,33.15577753
Cyprus,1995,70+ years,Both,Liver cancer,"Deaths per 100,000",28.00623759,23.63114935,33.13454799
Cyprus,1996,70+ years,Both,Liver cancer,"Deaths per 100,000",27.8409088,23.53136049,32.73448329
Cyprus,1997,70+ years,Both,Liver cancer,"Deaths per 100,000",27.59904058,23.49324944,32.30658719
Cyprus,1998,70+ years,Both,Liver cancer,"Deaths per 100,000",27.37695168,23.50204333,31.80265303
Cyprus,1999,70+ years,Both,Liver cancer,"Deaths per 100,000",27.14043307,23.50645719,31.48071746
Cyprus,2000,70+ years,Both,Liver cancer,"Deaths per 100,000",26.94544086,23.48469959,31.03094874
Cyprus,2001,70+ years,Both,Liver cancer,"Deaths per 100,000",26.64909226,23.38318416,30.19844401
Cyprus,2002,70+ years,Both,Liver cancer,"Deaths per 100,000",26.84565413,23.52580238,30.25579554
Cyprus,2003,70+ years,Both,Liver cancer,"Deaths per 100,000",26.81838595,23.61805851,30.29230315
Cyprus,2004,70+ years,Both,Liver cancer,"Deaths per 100,000",27.38721405,24.06274867,30.99431486
Cyprus,2005,70+ years,Both,Liver cancer,"Deaths per 100,000",29.00732459,25.40073249,32.94313924
Cyprus,2006,70+ years,Both,Liver cancer,"Deaths per 100,000",30.280056,26.59884249,34.33236581
Cyprus,2007,70+ years,Both,Liver cancer,"Deaths per 100,000",31.56385838,27.74718894,35.66763499
Cyprus,2008,70+ years,Both,Liver cancer,"Deaths per 100,000",32.4635872,28.557439,36.89217874
Cyprus,2009,70+ years,Both,Liver cancer,"Deaths per 100,000",33.35779726,29.52453473,37.72537509
Cyprus,2010,70+ years,Both,Liver cancer,"Deaths per 100,000",34.26458977,30.41538676,38.41910249
Cyprus,2011,70+ years,Both,Liver cancer,"Deaths per 100,000",34.56704676,30.66231829,38.62963342
Cyprus,2012,70+ years,Both,Liver cancer,"Deaths per 100,000",34.90755728,30.70966325,39.2106325
Cyprus,2013,70+ years,Both,Liver cancer,"Deaths per 100,000",35.0486079,30.71397928,39.62663006
Cyprus,2014,70+ years,Both,Liver cancer,"Deaths per 100,000",34.87672795,30.37846809,39.47688147
Cyprus,2015,70+ years,Both,Liver cancer,"Deaths per 100,000",34.77704249,30.17603964,39.62048678
Cyprus,2016,70+ years,Both,Liver cancer,"Deaths per 100,000",33.97463676,29.04759406,39.18485017
Cyprus,2017,70+ years,Both,Liver cancer,"Deaths per 100,000",32.69385843,27.75821591,38.29982936
Cyprus,2018,70+ years,Both,Liver cancer,"Deaths per 100,000",32.54187171,27.50419986,38.40427194
Cyprus,2019,70+ years,Both,Liver cancer,"Deaths per 100,000",32.54689939,27.28217484,38.52232825
Cyprus,1990,70+ years,Male,Liver cancer,"Deaths per 100,000",35.94604836,26.11564,47.80786288
Cyprus,1991,70+ years,Male,Liver cancer,"Deaths per 100,000",37.8857721,28.11207683,49.55165069
Cyprus,1992,70+ years,Male,Liver cancer,"Deaths per 100,000",39.67665187,30.19388155,50.93666145
Cyprus,1993,70+ years,Male,Liver cancer,"Deaths per 100,000",40.16751948,31.31300714,50.69245603
Cyprus,1994,70+ years,Male,Liver cancer,"Deaths per 100,000",39.90548673,31.38268258,50.05814805
Cyprus,1995,70+ years,Male,Liver cancer,"Deaths per 100,000",40.56572571,32.433435,50.32528094
Cyprus,1996,70+ years,Male,Liver cancer,"Deaths per 100,000",41.17457184,33.00415729,51.00682424
Cyprus,1997,70+ years,Male,Liver cancer,"Deaths per 100,000",41.49267629,33.60546839,50.9653677
Cyprus,1998,70+ years,Male,Liver cancer,"Deaths per 100,000",41.45144918,34.02664881,50.58759859
Cyprus,1999,70+ years,Male,Liver cancer,"Deaths per 100,000",41.17351706,34.13329096,49.71950701
Cyprus,2000,70+ years,Male,Liver cancer,"Deaths per 100,000",41.27140353,34.42570352,49.13416008
Cyprus,2001,70+ years,Male,Liver cancer,"Deaths per 100,000",40.46178193,34.26610592,47.7706833
Cyprus,2002,70+ years,Male,Liver cancer,"Deaths per 100,000",40.2947475,33.92157772,46.98154655
Cyprus,2003,70+ years,Male,Liver cancer,"Deaths per 100,000",39.28315003,33.25307066,45.79732205
Cyprus,2004,70+ years,Male,Liver cancer,"Deaths per 100,000",39.56982149,33.62258579,46.50044291
Cyprus,2005,70+ years,Male,Liver cancer,"Deaths per 100,000",41.63968754,35.361732,48.61075619
Cyprus,2006,70+ years,Male,Liver cancer,"Deaths per 100,000",42.21840074,35.83066016,49.19863866
Cyprus,2007,70+ years,Male,Liver cancer,"Deaths per 100,000",43.59098083,36.67149753,51.39642168
Cyprus,2008,70+ years,Male,Liver cancer,"Deaths per 100,000",44.12623238,37.36685328,52.25585637
Cyprus,2009,70+ years,Male,Liver cancer,"Deaths per 100,000",45.79125651,38.99973833,54.09068658
Cyprus,2010,70+ years,Male,Liver cancer,"Deaths per 100,000",47.23863962,40.59407741,55.21062256
Cyprus,2011,70+ years,Male,Liver cancer,"Deaths per 100,000",47.13458292,40.07834629,54.42191952
Cyprus,2012,70+ years,Male,Liver cancer,"Deaths per 100,000",47.19571713,40.10510556,55.00504384
Cyprus,2013,70+ years,Male,Liver cancer,"Deaths per 100,000",46.98712785,39.60601153,54.67286004
Cyprus,2014,70+ years,Male,Liver cancer,"Deaths per 100,000",46.34514553,38.48392639,54.42367795
Cyprus,2015,70+ years,Male,Liver cancer,"Deaths per 100,000",45.96895881,38.48717849,54.59948119
Cyprus,2016,70+ years,Male,Liver cancer,"Deaths per 100,000",44.33267235,36.70139855,53.1926555
Cyprus,2017,70+ years,Male,Liver cancer,"Deaths per 100,000",41.70718114,34.18537787,50.75477037
Cyprus,2018,70+ years,Male,Liver cancer,"Deaths per 100,000",41.44446336,33.74811204,50.63389518
Cyprus,2019,70+ years,Male,Liver cancer,"Deaths per 100,000",41.65932556,33.3095533,51.23719291
Cyprus,1990,70+ years,Female,Liver cancer,"Deaths per 100,000",19.58525622,13.69261971,26.6970746
Cyprus,1991,70+ years,Female,Liver cancer,"Deaths per 100,000",19.40577685,13.64568512,26.62708005
Cyprus,1992,70+ years,Female,Liver cancer,"Deaths per 100,000",19.31021614,13.70830645,26.18465292
Cyprus,1993,70+ years,Female,Liver cancer,"Deaths per 100,000",19.16811056,13.73792246,25.82328052
Cyprus,1994,70+ years,Female,Liver cancer,"Deaths per 100,000",18.47891552,13.440397,24.76101974
Cyprus,1995,70+ years,Female,Liver cancer,"Deaths per 100,000",17.92048267,13.30998155,23.83763055
Cyprus,1996,70+ years,Female,Liver cancer,"Deaths per 100,000",17.30383012,13.27467914,22.45942664
Cyprus,1997,70+ years,Female,Liver cancer,"Deaths per 100,000",16.81693161,13.11132721,21.37595805
Cyprus,1998,70+ years,Female,Liver cancer,"Deaths per 100,000",16.64334155,13.07050829,21.08792615
Cyprus,1999,70+ years,Female,Liver cancer,"Deaths per 100,000",16.58131035,13.09096679,20.65925691
Cyprus,2000,70+ years,Female,Liver cancer,"Deaths per 100,000",16.28340935,13.00664485,19.88667175
